20100928,127,85,150
20100929,97,58,142
20100930,100,65,149
20101001,120,60,170
20101002,153,122,182
20101003,182,147,223
20101004,172,130,220
20101005,167,136,195
20101006,160,123,192
20101007,140,97,169
20101008,142,111,163
20101009,136,95,194
20101010,113,71,179
20101011,96,46,162
20101012,85,51,134
20101013,83,28,130
20101014,94,23,125
20101015,103,76,128
20101016,74,42,103
20101017,47,-10,107
20101018,68,-18,126
20101019,90,68,127
20101020,62,35,93
20101021,78,29,115
20101022,90,67,125
20101023,72,48,86
20101024,75,29,117
20101025,53,0,113
20101026,64,-1,101
20101027,89,67,107
20101028,113,89,136
20101029,100,59,131
20101030,112,69,134
20101031,92,54,133
20101101,82,50,92
20101102,110,83,130
20101103,128,107,147
20101104,152,145,159
20101105,137,94,150
20101106,93,74,116
20101107,55,8,82
20101108,49,3,80
20101109,46,42,53
20101110,54,24,85
20101111,68,34,107
20101112,113,98,128
20101113,104,88,115
20101114,112,84,132
20101115,58,2,106
20101116,20,-11,60
20101117,39,6,53
20101118,53,40,69
20101119,71,42,87
20101120,70,41,94
20101121,52,27,83
20101122,45,18,63
20101123,46,15,76
20101124,35,4,63
20101125,24,1,48
20101126,-1,-28,38
20101127,-5,-44,16
20101128,-30,-52,5
20101129,-22,-45,-7
20101130,-16,-37,-5
20101201,-62,-78,-37
20101202,-69,-79,-61
20101203,-54,-97,-25
20101204,-21,-63,8
20101205,23,-11,47
20101206,-4,-33,23
20101207,-23,-38,-13
20101208,-21,-47,-4
20101209,27,-24,54
20101210,38,-10,71
20101211,71,60,80
20101212,31,-34,68
20101213,-17,-65,20
20101214,-25,-59,1
20101215,4,-57,36
20101216,15,-27,45
20101217,-22,-56,-6
20101218,-41,-60,-15
20101219,-49,-57,-39
20101220,-77,-111,-47
20101221,-39,-85,-16
20101222,-21,-29,-11
20101223,-7,-22,0
20101224,-12,-24,-3
20101225,-16,-33,6
20101226,5,-59,48
20101227,-6,-16,9
20101228,4,-3,12
20101229,4,-16,18
20101230,-16,-55,19
20101231,25,6,37
